7.91E+01,0.00E+00
7.81E+01,1.39E-03
7.53E+01,2.78E-03
7.11E+01,4.17E-03
6.60E+01,5.56E-03
6.08E+01,6.94E-03
5.62E+01,8.33E-03
5.29E+01,9.72E-03
5.14E+01,1.11E-02
5.17E+01,1.25E-02
5.40E+01,1.39E-02
5.80E+01,1.53E-02
6.32E+01,1.67E-02
6.90E+01,1.81E-02
7.49E+01,1.94E-02
8.03E+01,2.08E-02
8.47E+01,2.22E-02
8.79E+01,2.36E-02
8.97E+01,2.50E-02
9.00E+01,2.64E-02
8.91E+01,2.78E-02
8.70E+01,2.92E-02
8.42E+01,3.06E-02
8.08E+01,3.19E-02
7.73E+01,3.33E-02
7.37E+01,3.47E-02
7.05E+01,3.61E-02
6.78E+01,3.75E-02
6.57E+01,3.89E-02
6.44E+01,4.03E-02
6.40E+01,4.17E-02
6.43E+01,4.31E-02
6.54E+01,4.44E-02
6.71E+01,4.58E-02
6.90E+01,4.72E-02
7.09E+01,4.86E-02
7.25E+01,5.00E-02
7.35E+01,5.14E-02
7.36E+01,5.28E-02
7.29E+01,5.42E-02
7.12E+01,5.56E-02
6.87E+01,5.69E-02
6.58E+01,5.83E-02
6.29E+01,5.97E-02
6.02E+01,6.11E-02
5.82E+01,6.25E-02
5.73E+01,6.39E-02
5.74E+01,6.53E-02
5.86E+01,6.67E-02
6.07E+01,6.81E-02
6.33E+01,6.94E-02
6.61E+01,7.08E-02
6.87E+01,7.22E-02
7.07E+01,7.36E-02
7.18E+01,7.50E-02
7.20E+01,7.64E-02
7.13E+01,7.78E-02
6.99E+01,7.92E-02
6.82E+01,8.06E-02
6.64E+01,8.19E-02
6.48E+01,8.33E-02
6.38E+01,8.47E-02
6.34E+01,8.61E-02
6.36E+01,8.75E-02
6.43E+01,8.89E-02
6.53E+01,9.03E-02
6.63E+01,9.17E-02
6.71E+01,9.31E-02
6.75E+01,9.44E-02
6.74E+01,9.58E-02
6.69E+01,9.72E-02
6.60E+01,9.86E-02
6.49E+01,1.00E-01
6.37E+01,1.01E-01
6.27E+01,1.03E-01
6.20E+01,1.04E-01
6.16E+01,1.06E-01
6.16E+01,1.07E-01
6.18E+01,1.08E-01
6.23E+01,1.10E-01
6.28E+01,1.11E-01
6.34E+01,1.13E-01
6.39E+01,1.14E-01
6.42E+01,1.15E-01
6.44E+01,1.17E-01
6.46E+01,1.18E-01
6.47E+01,1.19E-01
6.48E+01,1.21E-01
6.49E+01,1.22E-01
6.50E+01,1.24E-01
6.51E+01,1.25E-01
6.53E+01,1.26E-01
6.54E+01,1.28E-01
6.56E+01,1.29E-01
6.60E+01,1.31E-01
6.66E+01,1.32E-01
6.75E+01,1.33E-01
6.88E+01,1.35E-01
7.05E+01,1.36E-01
7.25E+01,1.38E-01
7.45E+01,1.39E-01
7.64E+01,1.40E-01
7.78E+01,1.42E-01
7.84E+01,1.43E-01
7.79E+01,1.44E-01
7.62E+01,1.46E-01
7.35E+01,1.47E-01
7.00E+01,1.49E-01
6.61E+01,1.50E-01
6.24E+01,1.51E-01
5.96E+01,1.53E-01
5.82E+01,1.54E-01
5.87E+01,1.56E-01
6.11E+01,1.57E-01
6.53E+01,1.58E-01
7.08E+01,1.60E-01
7.69E+01,1.61E-01
8.27E+01,1.63E-01
8.72E+01,1.64E-01
8.97E+01,1.65E-01
8.96E+01,1.67E-01
8.67E+01,1.68E-01
8.14E+01,1.69E-01
7.41E+01,1.71E-01
6.59E+01,1.72E-01
5.78E+01,1.74E-01
5.11E+01,1.75E-01
4.66E+01,1.76E-01
4.50E+01,1.78E-01
4.66E+01,1.79E-01
5.11E+01,1.81E-01
5.78E+01,1.82E-01
6.59E+01,1.83E-01
7.41E+01,1.85E-01
8.14E+01,1.86E-01
8.67E+01,1.88E-01
8.96E+01,1.89E-01
8.97E+01,1.90E-01
8.72E+01,1.92E-01
8.27E+01,1.93E-01
7.69E+01,1.94E-01
7.08E+01,1.96E-01
6.53E+01,1.97E-01
6.11E+01,1.99E-01
5.87E+01,2.00E-01
5.82E+01,2.01E-01
5.96E+01,2.03E-01
6.24E+01,2.04E-01
6.61E+01,2.06E-01
7.00E+01,2.07E-01
7.35E+01,2.08E-01
7.62E+01,2.10E-01
7.79E+01,2.11E-01
7.84E+01,2.12E-01
7.78E+01,2.14E-01
7.64E+01,2.15E-01
7.45E+01,2.17E-01
7.25E+01,2.18E-01
7.05E+01,2.19E-01
6.88E+01,2.21E-01
6.75E+01,2.22E-01
6.66E+01,2.24E-01
6.60E+01,2.25E-01
6.56E+01,2.26E-01
6.54E+01,2.28E-01
6.53E+01,2.29E-01
6.51E+01,2.31E-01
6.50E+01,2.32E-01
6.49E+01,2.33E-01
6.48E+01,2.35E-01
6.47E+01,2.36E-01
6.46E+01,2.37E-01
6.44E+01,2.39E-01
6.42E+01,2.40E-01
6.39E+01,2.42E-01
6.34E+01,2.43E-01
6.28E+01,2.44E-01
6.23E+01,2.46E-01
6.18E+01,2.47E-01
6.16E+01,2.49E-01
6.16E+01,2.50E-01
6.20E+01,2.51E-01
6.27E+01,2.53E-01
6.37E+01,2.54E-01
6.49E+01,2.56E-01
6.60E+01,2.57E-01
6.69E+01,2.58E-01
6.74E+01,2.60E-01
6.75E+01,2.61E-01
